BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
8455,27816,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
1391,30005,2P MTR M-F 9:30-16:00,2P MTR M-F 18:00-2030,2P MTR SAT 7:30-20:30,,,,240,240,240,,,,120,120,120,,,,0,0,0,,,,0001-01-02T02:03:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T06:33:52+10:05,,,,,,,,,,1,1,6,,,,0001-01-01T19:33:52+10:05,0001-01-02T04:03:52+10:05,0001-01-01T17:33:52+10:05,,,,5,5,6,,,,2P Meter,2P Meter,2P Meter,,,
8527,27898,4P RPA 7:30am-11pm M-SUN,,,,,,480,,,,,,240,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,4P,,,,,
8395,27756,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
8713,27840,4P RPA 7:30am-6:30pm M-F,,,,,,480,,,,,,240,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,4P,,,,,
8732,27859,1P RPA 7:30am-10pm M-SUN,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T08:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
2488,29754,2P MTR M-SAT 7:30-20:30,1P SUN 7:30-18:30,,,,,240,120,,,,,120,60,,,,,0,0,,,,,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,1P,,,,
8744,27871,4P RPA 7:30am-6:30pm M-F,,,,,,480,,,,,,240,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,4P,,,,,
6029,30036,2P MTR M-SAT 7:30-18:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
8731,27858,4P RPA 7:30am-6:30pm M-F,,,,,,480,,,,,,240,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,4P,,,,,
8722,27849,1P RPA 7:30am-10pm M-SUN,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T08:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
8443,27804,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
8748,27875,4P RPA 7:30am-6:30pm M-F,,,,,,480,,,,,,240,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,4P,,,,,
8380,27741,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
8702,27829,1P RPA 7:30am-10pm M-SUN,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T08:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
8733,27860,4P RPA 7:30am-6:30pm M-F,,,,,,480,,,,,,240,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,4P,,,,,
8700,27827,1P RPA 7:30am-10pm M-SUN,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T08:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
8716,27843,1P RPA 7:30am-10pm M-SUN,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T08:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
8435,27796,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
8375,27736,3P RPA 7:30-18:30 M-SUN,,,,,,360,,,,,,180,,,,,,1,,,,,,0001-01-02T04:33:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,3P,,,,,
